width_multiplier,data_size_target,runs,n_train_mean,n_train_min,n_train_max,test_mean_dice_ex_bg_mean,test_mean_dice_ex_bg_std,test_error_mean,test_error_std,test_pixel_accuracy_mean,test_blas_mae_mean
0.5,32,5,32.6,32.0,34.0,0.16416547162588974,0.06663096909365065,0.8358345283741103,0.06663096909365065,0.9143121643066406,0.31910579313064763
0.5,64,5,65.8,64.0,68.0,0.3133441799347277,0.06422371796563645,0.6866558200652724,0.06422371796563646,0.9319401245117188,0.21062640670781912
0.5,128,5,130.2,129.0,132.0,0.5379302071774905,0.0022720269896450798,0.4620697928225096,0.0022720269896450798,0.9436087341308592,0.1874811366888651
0.5,192,5,193.0,192.0,194.0,0.6602967063802457,0.0653771694217007,0.33970329361975427,0.0653771694217007,0.9519371948242188,0.16508858570541543
0.5,256,5,257.8,257.0,259.0,0.6999522595282521,0.00470870185938015,0.3000477404717479,0.00470870185938015,0.9540393981933594,0.16274919010286953
0.5,320,5,320.6,320.0,322.0,0.7039722310682036,0.005214266414245504,0.2960277689317964,0.005214266414245504,0.9551834716796875,0.1609160061338424
0.5,370,5,370.2,369.0,371.0,0.7100016732480715,0.0030592576375333136,0.28999832675192855,0.0030592576375333136,0.9561426391601563,0.16060057808221423
1.0,32,5,32.6,32.0,34.0,0.4109978322920905,0.11130942128691135,0.5890021677079096,0.11130942128691135,0.9346646728515624,0.2315485968811529
1.0,64,5,65.8,64.0,68.0,0.5890541082783699,0.06684858243622233,0.41094589172163004,0.06684858243622233,0.9455528869628906,0.20356332493711687
1.0,128,5,130.2,129.0,132.0,0.690866243133209,0.01282920506241204,0.30913375686679107,0.012829205062412042,0.9549207763671875,0.16554060290541373
1.0,192,5,193.0,192.0,194.0,0.6986969489501084,0.00780825754205277,0.30130305104989163,0.00780825754205277,0.9549746398925782,0.1687334246392234
1.0,256,5,257.8,257.0,259.0,0.7026894934594063,0.006944252924559738,0.29731050654059354,0.006944252924559739,0.9563308105468751,0.1648445913213536
1.0,320,5,320.6,320.0,322.0,0.7099504108741526,0.007309633298729993,0.2900495891258475,0.007309633298729993,0.9563288269042969,0.1654930945457337
1.0,370,5,370.2,369.0,371.0,0.7119921471153593,0.005813087986291743,0.2880078528846407,0.005813087986291743,0.9574532165527344,0.1579985752224668
1.5,32,5,32.6,32.0,34.0,0.5116297082459473,0.016155886921959958,0.48837029175405267,0.016155886921959958,0.9400420227050781,0.19724316862302554
1.5,64,5,65.8,64.0,68.0,0.6693095261461026,0.018085553363125957,0.33069047385389727,0.018085553363125954,0.9508297119140625,0.1815244571529358
1.5,128,5,130.2,129.0,132.0,0.6897456931285921,0.015434801071730163,0.3102543068714078,0.015434801071730163,0.9543759460449218,0.1756582553103933
1.5,192,5,193.0,192.0,194.0,0.6986578514787627,0.005959044808163569,0.30134214852123736,0.005959044808163569,0.9548674926757812,0.17500239555406316
1.5,256,5,257.8,257.0,259.0,0.7015900401606208,0.0046140607275940914,0.2984099598393792,0.0046140607275940914,0.9560610961914062,0.16874020868173156
1.5,320,5,320.6,320.0,322.0,0.7121494684047527,0.005121972353007293,0.28785053159524726,0.005121972353007293,0.9582236938476563,0.1612894448776923
1.5,370,5,370.2,369.0,371.0,0.7100037653924915,0.009962387229943628,0.28999623460750845,0.009962387229943628,0.9568684997558595,0.16074436612227136
