perturbation,level,mean_delta_blas,median_delta_blas,p05_delta_blas,p95_delta_blas
add_false_positive_bline_pixels,0.0,0.0,0.0,0.0,0.0
add_false_positive_bline_pixels,0.008,0.0031723931655337754,0.0036637157668903964,0.0,0.006960613765109962
add_false_positive_bline_pixels,0.016,0.006277999273946642,0.007248379130471189,0.0,0.01351534774499496
add_false_positive_bline_pixels,0.024000000000000004,0.009341459230843068,0.010835185293821853,0.0,0.02020693725645662
add_false_positive_bline_pixels,0.032,0.012448267908994403,0.014226035466269382,0.0,0.02695691336159242
add_false_positive_bline_pixels,0.04,0.015525899433539153,0.01777131215537009,0.0,0.033588510403325
add_false_positive_bline_pixels,0.04800000000000001,0.018539889776164786,0.021929193456697194,0.0,0.04000127268683127
add_false_positive_bline_pixels,0.05600000000000001,0.021545721966402854,0.024729175816132154,0.0,0.046033752042483646
add_false_positive_bline_pixels,0.064,0.024517110170874334,0.02808112082770886,0.0,0.052901920736820304
dilate_bline_regions,1.0,0.035012141929312714,0.03467925705004468,0.0,0.10192417277954482
dilate_bline_regions,2.0,0.06390260802823161,0.06226541492140091,0.0,0.1723192027916921
dilate_bline_regions,3.0,0.08977268959739795,0.09059269152244932,0.0,0.23481239253592862
dilate_bline_regions,4.0,0.11249403541540269,0.11721580675505437,0.0,0.29333413102979033
dilate_bline_regions,5.0,0.12393472704355737,0.14612586823778045,0.0,0.3331480097575765
erode_bline_regions,1.0,-0.03782513428711638,-0.035827301108167335,-0.10433133315232081,0.0
erode_bline_regions,2.0,-0.07667476324760353,-0.0727643366309027,-0.20129332848959497,0.0
erode_bline_regions,3.0,-0.1135846280853516,-0.10912875537006476,-0.29056122325102135,0.0
erode_bline_regions,4.0,-0.14522677700977793,-0.15135695257349568,-0.3568225175748909,0.0
erode_bline_regions,5.0,-0.17123485528853474,-0.1788724118037162,-0.4076226724615688,0.0
remove_bline_pixels,0.0,0.0,0.0,0.0,0.0
remove_bline_pixels,0.1,-0.037909840758678044,-0.030405405405405345,-0.09620007913030346,0.0
remove_bline_pixels,0.2,-0.07569946918499107,-0.06061036554605426,-0.19122331654374294,0.0
remove_bline_pixels,0.30000000000000004,-0.11364076191906602,-0.09098041466275994,-0.2868880442747546,0.0
remove_bline_pixels,0.4,-0.1514450933647685,-0.12254674642937681,-0.3845251001670632,0.0
remove_bline_pixels,0.5,-0.18938300299157418,-0.15315834589577615,-0.48260569356090116,0.0
remove_bline_pixels,0.6000000000000001,-0.2272116575261332,-0.1844802609253719,-0.5777990219848413,0.0
remove_bline_pixels,0.7000000000000001,-0.26513549711876205,-0.21430284724934945,-0.6773810068092377,0.0
remove_bline_pixels,0.8,-0.3029724648452944,-0.24559546605859314,-0.7735240889285007,0.0
