run_id,status,timestamp_utc,seed,data_size_target,n_train,n_valid,n_test,width_multiplier,filters,parameter_count,epochs_requested,epochs_completed,best_epoch,best_valid_loss,best_valid_mean_dice_ex_bg,test_pixel_accuracy,test_mean_dice_ex_bg,test_blas_mae,test_blas_corr,elapsed_sec,output_dir
n0032_seed47_w0.5,completed,2026-05-16T05:28:11.889243+00:00,47,32,34,93,100,0.5,16x32x64x128x256,1963894,200,200,196,0.634906421425522,0.2277282404884915,0.9336701965332032,0.21297101642964328,0.3791086163512856,0.0,255.096,outputs/scaling_law/runs/n0032_seed47_w0.5
n0064_seed47_w0.5,completed,2026-05-16T05:33:36.221803+00:00,47,64,68,93,100,0.5,16x32x64x128x256,1963894,200,200,199,0.49852969569544636,0.3970933532480937,0.9374739074707031,0.3681045069371892,0.20647282871453726,0.5819467140651622,324.286,outputs/scaling_law/runs/n0064_seed47_w0.5
n0128_seed47_w0.5,completed,2026-05-16T05:41:04.384681+00:00,47,128,132,93,100,0.5,16x32x64x128x256,1963894,200,200,194,0.34275520360598,0.5451772314898632,0.9440580749511719,0.5373355751526286,0.18653165988448592,0.6484739273965912,448.145,outputs/scaling_law/runs/n0128_seed47_w0.5
n0192_seed47_w0.5,completed,2026-05-16T05:50:33.294849+00:00,47,192,193,93,100,0.5,16x32x64x128x256,1963894,200,200,188,0.29560373419074604,0.6771521593087422,0.952259521484375,0.6898948230408315,0.15748696771803003,0.6340028985158077,568.873,outputs/scaling_law/runs/n0192_seed47_w0.5
n0256_seed47_w0.5,completed,2026-05-16T06:02:10.914269+00:00,47,256,259,93,100,0.5,16x32x64x128x256,1963894,200,200,191,0.28854965843180175,0.6840032070401183,0.9524549865722656,0.6979913837225701,0.17081632980572045,0.5977257803228536,697.595,outputs/scaling_law/runs/n0256_seed47_w0.5
n0320_seed47_w0.5,completed,2026-05-16T06:13:48.446864+00:00,47,320,322,93,100,0.5,16x32x64x128x256,1963894,200,170,145,0.2890945916534752,0.6883514442619718,0.9539973449707031,0.7022330932842371,0.1619093153704808,0.6109060945427224,697.508,outputs/scaling_law/runs/n0320_seed47_w0.5
n0370_seed47_w0.5,completed,2026-05-16T06:25:44.704503+00:00,47,370,370,93,100,0.5,16x32x64x128x256,1963894,200,157,132,0.2860841908121622,0.6931050024227121,0.95620361328125,0.7088783504823871,0.16400688698659535,0.607522797195621,716.234,outputs/scaling_law/runs/n0370_seed47_w0.5
n0032_seed48_w0.5,completed,2026-05-16T06:27:44.953604+00:00,48,32,33,93,100,0.5,16x32x64x128x256,1963894,200,93,68,0.8988602219089386,0.1835669433412884,0.921279296875,0.1607660703854424,0.2699235438477013,0.2722368471833781,120.226,outputs/scaling_law/runs/n0032_seed48_w0.5
n0064_seed48_w0.5,completed,2026-05-16T06:33:03.878308+00:00,48,64,64,93,100,0.5,16x32x64x128x256,1963894,200,200,200,0.5128294703780963,0.3742837913616512,0.9335626220703125,0.3417652116982864,0.19827577977886132,0.6361152157801052,318.901,outputs/scaling_law/runs/n0064_seed48_w0.5
n0128_seed48_w0.5,completed,2026-05-16T06:40:30.663107+00:00,48,128,129,93,100,0.5,16x32x64x128x256,1963894,200,200,196,0.34583339575798283,0.5389961949206288,0.9441574096679688,0.5413613081460635,0.1848076109271643,0.6289403689651223,446.76,outputs/scaling_law/runs/n0128_seed48_w0.5
n0192_seed48_w0.5,completed,2026-05-16T06:49:59.663028+00:00,48,192,192,93,100,0.5,16x32x64x128x256,1963894,200,200,196,0.29061125298982027,0.7016650717259185,0.9546963500976563,0.6929563182487017,0.16520057132680807,0.6433019459846859,568.975,outputs/scaling_law/runs/n0192_seed48_w0.5
